network,payoff,strategy,mean_barC,std_barC,Pr_allC,Pr_allD,mean_time_to_absorption,n_runs
BA_m4,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.015,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.02,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
Grid_20x20,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_mild,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_strong,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.01,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.1,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.5,Canonical,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
BA_m4,Canonical,Fermi(K=0.5),0.09688,0.305319893369294,0.1,0.9,158.7,10
ER_p0.015,Canonical,Fermi(K=0.5),0.016949166666666654,0.030329594155474655,0.0,0.6,220.83333333333334,10
ER_p0.02,Canonical,Fermi(K=0.5),0.02075333333333333,0.0376156537959109,0.0,0.9,190.55555555555554,10
Grid_20x20,Canonical,Fermi(K=0.5),0.02714833333333333,0.03251295867006695,0.0,1.0,298.0,10
SBM_2block_mild,Canonical,Fermi(K=0.5),0.00830749999999999,0.01275419892732499,0.0,0.8,238.75,10
SBM_2block_strong,Canonical,Fermi(K=0.5),0.011885,0.018822374228692252,0.0,1.0,220.1,10
WS_k8_p0.01,Canonical,Fermi(K=0.5),0.06662749999999999,0.07532660757935127,0.0,0.8,302.0,10
WS_k8_p0.1,Canonical,Fermi(K=0.5),0.00799666666666667,0.019332375934148896,0.0,1.0,207.6,10
WS_k8_p0.5,Canonical,Fermi(K=0.5),0.006314999999999999,0.011947892138080668,0.0,1.0,180.5,10
BA_m4,Canonical,ImitationStrategy,0.0954875,0.0018306767368420898,0.0,0.0,,10
ER_p0.015,Canonical,ImitationStrategy,0.08392750000000002,0.002316443667657843,0.0,0.0,,10
ER_p0.02,Canonical,ImitationStrategy,0.07119,0.0016591859896190498,0.0,0.0,,10
Grid_20x20,Canonical,ImitationStrategy,0.09401416666666666,0.005759546624068151,0.0,0.0,,10
SBM_2block_mild,Canonical,ImitationStrategy,0.06781500000000001,0.0016167611656230118,0.0,0.0,,10
SBM_2block_strong,Canonical,ImitationStrategy,0.05991666666666666,0.002338948270557882,0.0,0.0,,10
WS_k8_p0.01,Canonical,ImitationStrategy,0.17491666666666666,0.01670206934395766,0.0,0.0,,10
WS_k8_p0.1,Canonical,ImitationStrategy,0.09742333333333333,0.010333873791123263,0.0,0.0,,10
WS_k8_p0.5,Canonical,ImitationStrategy,0.0645,0.0014803236216082533,0.0,0.0,,10
BA_m4,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05052000000000001,0.0007977708139590838,0.0,0.0,,10
ER_p0.015,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.06339583333333333,0.006449429645085953,0.0,0.0,,10
ER_p0.02,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.06115,0.0070385446728078015,0.0,0.0,,10
Grid_20x20,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05041083333333335,0.0016934835617962382,0.0,0.0,,10
SBM_2block_mild,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05936333333333334,0.005097444288229635,0.0,0.0,,10
SBM_2block_strong,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05476750000000001,0.003115139876573326,0.0,0.0,,10
WS_k8_p0.01,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.0501225,0.0008208796283241115,0.0,0.0,,10
WS_k8_p0.1,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05042166666666668,0.0006470278678143611,0.0,0.0,,10
WS_k8_p0.5,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.050841666666666674,0.0016161702177801432,0.0,0.0,,10
BA_m4,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.015,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.02,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
Grid_20x20,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_mild,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_strong,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.01,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.1,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.5,Default,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
BA_m4,Default,Fermi(K=0.5),0.006675,0.017920569772963534,0.0,1.0,182.3,10
ER_p0.015,Default,Fermi(K=0.5),0.028294166666666648,0.039957642706347794,0.0,0.5,254.8,10
ER_p0.02,Default,Fermi(K=0.5),0.023945833333333333,0.05160047241894229,0.0,0.9,235.44444444444446,10
Grid_20x20,Default,Fermi(K=0.5),0.007527500000000001,0.010361186364040096,0.0,1.0,234.9,10
SBM_2block_mild,Default,Fermi(K=0.5),0.05617,0.08473946219857491,0.0,0.6,194.66666666666666,10
SBM_2block_strong,Default,Fermi(K=0.5),0.07322583333333332,0.054882382437410386,0.0,0.6,329.8333333333333,10
WS_k8_p0.01,Default,Fermi(K=0.5),0.1176575,0.08051253702409057,0.0,0.3,352.3333333333333,10
WS_k8_p0.1,Default,Fermi(K=0.5),0.039704166666666665,0.03868345565629246,0.0,0.8,290.625,10
WS_k8_p0.5,Default,Fermi(K=0.5),0.048255,0.08363132454077506,0.0,0.8,251.0,10
BA_m4,Default,ImitationStrategy,0.008343333333333324,0.007262789698010734,0.0,0.1,21.0,10
ER_p0.015,Default,ImitationStrategy,0.02164249999999999,0.010677785329226162,0.0,0.0,,10
ER_p0.02,Default,ImitationStrategy,0.006083333333333325,0.0057607923409077715,0.0,0.1,27.0,10
Grid_20x20,Default,ImitationStrategy,0.031149166666666665,0.01486281010537359,0.0,0.0,,10
SBM_2block_mild,Default,ImitationStrategy,0.0042499999999999856,0.0036893239368631084,0.0,0.1,24.0,10
SBM_2block_strong,Default,ImitationStrategy,0.0011666666666666678,0.0011249142628509225,0.0,0.4,24.75,10
WS_k8_p0.01,Default,ImitationStrategy,0.07544500000000001,0.01257324724549296,0.0,0.0,,10
WS_k8_p0.1,Default,ImitationStrategy,0.032083333333333325,0.008205030826523296,0.0,0.0,,10
WS_k8_p0.5,Default,ImitationStrategy,0.004249166666666666,0.003336249765829886,0.0,0.1,24.0,10
BA_m4,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.38678250000000003,0.026936162659077792,0.0,0.0,,10
ER_p0.015,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.37277666666666665,0.008843094536849314,0.0,0.0,,10
ER_p0.02,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.3712791666666666,0.011460462933413653,0.0,0.0,,10
Grid_20x20,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.3816716666666667,0.008711632106018776,0.0,0.0,,10
SBM_2block_mild,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.37626916666666665,0.0183336426952013,0.0,0.0,,10
SBM_2block_strong,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.37624416666666666,0.010554717839565362,0.0,0.0,,10
WS_k8_p0.01,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.3821983333333333,0.010038715026472075,0.0,0.0,,10
WS_k8_p0.1,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.38079,0.00859183038605372,0.0,0.0,,10
WS_k8_p0.5,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.38140583333333333,0.006398516960212236,0.0,0.0,,10
BA_m4,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
