payoff,network,strategy,barC,chi_bar,smax_bar,absorbed,absorb_state,t_absorb,n_steps_executed,cluster_samples_json,cluster_sizes_window_json,strategy_short
beta_0.00,Grid_10x10,ImitationStrategy,0.255,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [23, 1, 7, 2, 1, 1, 13, 1, 1, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.23,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [35, 5, 1, 1, 1, 1, 1, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.31,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [5, 37, 1, 18, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.27,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [3, 24, 1, 3, 1, 7, 1, 9, 1, 3, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.205,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 1, 3, 17, 1, 2, 1, 1, 3, 4, 3, 2, 1, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.28,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [19, 15, 2, 2, 5, 1, 4, 2, 5, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.29,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 48, 2, 1, 3, 2, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.265,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 2, 1, 5, 1, 29, 1, 1, 2, 1, 5, 1, 1, 1, 1]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.26,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [7, 3, 11, 1, 3, 1, 5, 1, 17, 3]}]",[],Imitate
beta_0.00,Grid_10x10,ImitationStrategy,0.285,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [39, 2, 8, 1, 4, 3]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.255,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [18, 1, 2, 4, 1, 10, 1, 1, 3, 4, 2, 1, 1, 1, 1]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.265,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [2, 1, 44, 1, 1, 1, 1, 1, 1]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.01,0.0,0.01,False,,1000,1000,"[{""t"": 1, ""sizes"": [50, 2, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1]}, {""t"": 101, ""sizes"": [1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [1]}, {""t"": 301, ""sizes"": [1]}, {""t"": 351, ""sizes"": [1]}, {""t"": 401, ""sizes"": [1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [1]}, {""t"": 651, ""sizes"": [1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [1]}, {""t"": 851, ""sizes"": [1]}, {""t"": 901, ""sizes"": [1]}, {""t"": 951, ""sizes"": [1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.02,0.0,0.01,False,,1000,1000,"[{""t"": 1, ""sizes"": [38, 1, 1, 2, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1]}, {""t"": 101, ""sizes"": [1, 1]}, {""t"": 151, ""sizes"": [1, 1]}, {""t"": 201, ""sizes"": [1, 1]}, {""t"": 251, ""sizes"": [1, 1]}, {""t"": 301, ""sizes"": [1, 1]}, {""t"": 351, ""sizes"": [1, 1]}, {""t"": 401, ""sizes"": [1, 1]}, {""t"": 451, ""sizes"": [1, 1]}, {""t"": 501, ""sizes"": [1, 1]}, {""t"": 551, ""sizes"": [1, 1]}, {""t"": 601, ""sizes"": [1, 1]}, {""t"": 651, ""sizes"": [1, 1]}, {""t"": 701, ""sizes"": [1, 1]}, {""t"": 751, ""sizes"": [1, 1]}, {""t"": 801, ""sizes"": [1, 1]}, {""t"": 851, ""sizes"": [1, 1]}, {""t"": 901, ""sizes"": [1, 1]}, {""t"": 951, ""sizes"": [1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
