payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
beta_0.00,ER_k4,ImitationStrategy,Imitate,0.16666666666666669,0.1165710954816127,0.027777777777777787,0.0,0.0,0.0,0.0,0.6,401.2,515.3649839353336
beta_0.00,Grid_6x6,ImitationStrategy,Imitate,0.2611111111111111,0.04977659279894672,,,,,0.0,1.0,2.0,0.0
beta_0.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.25277777777777777,0.04182070292828228,,,,,0.0,1.0,2.0,0.0
beta_0.50,ER_k4,ImitationStrategy,Imitate,0.14636666666666667,0.06778370850393148,0.03536111111111112,0.010724452847995976,0.3,0.4242640687119285,0.0,0.8,203.4,419.8502907783519
beta_0.50,Grid_6x6,ImitationStrategy,Imitate,0.16262896825396828,0.02808932004363408,,,,,0.0,1.0,4.9,1.66332999331662
beta_0.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.18353174603174602,0.04739115441466741,,,,,0.0,1.0,4.1,2.330951164939612
beta_1.00,ER_k4,ImitationStrategy,Imitate,0.12613927738927738,0.08329166151119485,0.027777777777777787,0.0,0.0,0.0,0.0,0.7,307.4,477.9502996012126
beta_1.00,Grid_6x6,ImitationStrategy,Imitate,0.19347108501520266,0.027847832128035866,,,,,0.0,1.0,9.0,6.164414002968976
beta_1.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.19583333333333333,0.046263548575728355,,,,,0.0,1.0,6.4,5.699902533279748
beta_1.50,ER_k4,ImitationStrategy,Imitate,0.16302593517593517,0.0665840000643092,0.05088888888888889,0.032684046774844856,0.45,0.6363961030678927,0.0,0.8,209.7,416.57413639244464
beta_1.50,Grid_6x6,ImitationStrategy,Imitate,0.21026350193016857,0.041274003448939556,,,,,0.0,1.0,11.4,8.500980335624044
beta_1.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.1877065527065527,0.044143316855985416,,,,,0.0,1.0,13.2,9.624043964063246
beta_2.00,ER_k4,ImitationStrategy,Imitate,0.13912123621425948,0.0749892844023047,0.027777777777777787,0.0,0.0,0.0,0.0,0.8,214.3,414.2653604742845
beta_2.00,Grid_6x6,ImitationStrategy,Imitate,0.1867116897855389,0.0246420734291233,,,,,0.0,1.0,20.3,14.142528455375691
beta_2.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.21256257631257633,0.06351888481603572,,,,,0.0,1.0,13.2,13.90283744020942
beta_2.50,ER_k4,ImitationStrategy,Imitate,0.1841322672548479,0.08844007492574639,0.049250000000000016,0.0053033008588991085,0.8,0.1414213562373096,0.0,0.8,215.3,413.8185458493721
beta_2.50,Grid_6x6,ImitationStrategy,Imitate,0.1882576085701086,0.050291224241353204,,,,,0.0,1.0,20.7,14.345343805182534
beta_2.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.20679024216524217,0.0355494732900532,,,,,0.0,1.0,9.8,9.235198367598224
beta_3.00,ER_k4,ImitationStrategy,Imitate,0.1784812719959779,0.09340672586440049,0.0482962962962963,0.022970010865843198,0.2333333333333333,0.40414518843273806,0.0,0.7,310.2,476.10171648970606
beta_3.00,Grid_6x6,ImitationStrategy,Imitate,0.19261233906368064,0.037535836568524744,0.091,,1.0,,0.0,0.9,118.5,310.12264598954323
beta_3.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.22413154496469714,0.03585561301615022,0.07827777777777777,,1.7,,0.0,0.9,115.1,311.3652553227836
beta_3.50,ER_k4,ImitationStrategy,Imitate,0.13180384615384616,0.10947836928734099,0.029633333333333345,0.004149148358249611,0.06,0.1341640786499874,0.0,0.5,506.3,520.4269721424258
beta_3.50,Grid_6x6,ImitationStrategy,Imitate,0.2040455645533838,0.06471353571692424,0.0776388888888889,0.011588694469446202,0.6833333333333333,0.966379267621615,0.0,0.9,179.7,327.14660322246965
beta_3.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.2057501221001221,0.054112535915250094,0.10361111111111111,,1.8,,0.0,0.9,108.6,313.3809183725136
beta_4.00,ER_k4,ImitationStrategy,Imitate,0.15296943650909495,0.06477003856847091,0.04316666666666667,0.007542472332656508,0.5,0.14142135623730948,0.0,0.8,220.1,411.1783743772957
beta_4.00,Grid_6x6,ImitationStrategy,Imitate,0.19971855921855922,0.04979304045979399,,,,,0.0,1.0,15.8,13.289929353545196
beta_4.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.2195910281401509,0.06589599711527501,0.14036111111111108,0.01598846999682914,0.5666666666666667,0.8013876853447538,0.0,0.8,210.9,416.11415367527326
beta_4.50,ER_k4,ImitationStrategy,Imitate,0.1287134162134162,0.09110433570400603,0.027777777777777787,0.0,0.0,0.0,0.0,0.6,405.4,511.83573753912714
beta_4.50,Grid_6x6,ImitationStrategy,Imitate,0.175960858430123,0.045738835374439506,0.06305555555555556,,0.6,,0.0,0.9,121.6,309.4827943521255
beta_4.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.21680134205700846,0.044046651761808886,0.10951851851851852,0.014817858483638998,1.538095238095238,0.38181450067430656,0.0,0.7,316.6,472.96257780082345
beta_5.00,ER_k4,ImitationStrategy,Imitate,0.17926380540735237,0.08872116181310882,0.027777777777777787,,0.0,,0.0,0.9,118.2,310.419357930168
beta_5.00,Grid_6x6,ImitationStrategy,Imitate,0.2118808694020092,0.0540051162038556,,,,,0.0,1.0,38.0,35.54340070017686
beta_5.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.21925367030630188,0.035259884443900394,,,,,0.0,1.0,11.2,16.64531966249572
