payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
beta_0.00,ER_k4,ImitationStrategy,Imitate,0.025333333333333336,0.06125741803543319,0.0025,0.0,0.0,0.0,0.0,0.06666666666666667,1866.8,506.9088471415199
beta_0.00,ER_k4,RLStrategy,RL,0.05688516666666667,0.0022808460254813393,0.005372583333333333,0.00013985442451875177,0.8521069016223869,0.07275202787958623,0.0,0.0,2000.0,0.0
beta_0.00,ER_k4,TitForTatStrategy,TFT,0.507625,0.04790137812069783,0.3870416666666667,0.07209644173549443,1.271982618791324,0.241837798161523,0.0,0.0,2000.0,0.0
beta_0.00,Grid_20x20,ImitationStrategy,Imitate,0.2519166666666667,0.010306370086883943,,,,,0.0,1.0,2.0,0.0
beta_0.00,Grid_20x20,RLStrategy,RL,0.0500555,0.0003307002757993894,0.005130416666666667,5.041245113942655e-05,0.8281464350373872,0.08571469602620477,0.0,0.0,2000.0,0.0
beta_0.00,Grid_20x20,TitForTatStrategy,TFT,0.5126105928803297,0.16302190147571374,0.0025,0.0,0.0,0.0,0.23333333333333334,0.16666666666666666,1215.4,977.3623758837371
beta_0.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.24808333333333332,0.012989274974678762,,,,,0.0,1.0,2.0,0.0
beta_0.00,WS_k4_p0.1,RLStrategy,RL,0.049938166666666665,0.00032856265694724076,0.005090666666666666,4.813295761944592e-05,0.8797376438004662,0.07789154439097927,0.0,0.0,2000.0,0.0
beta_0.00,WS_k4_p0.1,TitForTatStrategy,TFT,0.4733492768583752,0.15220927036144505,0.01875,0.013469358229370508,2.156033221214096,0.1944732916624786,0.13333333333333333,0.23333333333333334,1286.4666666666667,953.8356228419543
beta_0.50,ER_k4,ImitationStrategy,Imitate,0.014679555555555557,0.01737855701308254,0.0032430357142857144,0.0008829056504327843,0.2982142857142857,0.35394133821789014,0.0,0.06666666666666667,1867.4666666666667,504.37176582449524
beta_0.50,ER_k4,RLStrategy,RL,0.05761425,0.003019248889667536,0.005370750000000001,0.00010498593912421375,0.830858399483302,0.1040515480205465,0.0,0.0,2000.0,0.0
beta_0.50,ER_k4,TitForTatStrategy,TFT,0.5085833333333334,0.06689764226211477,0.385625,0.0972098634044069,1.2782625921728579,0.33702313616660806,0.0,0.0,2000.0,0.0
beta_0.50,Grid_20x20,ImitationStrategy,Imitate,0.07558832972582973,0.012413164022896798,,,,,0.0,1.0,11.466666666666667,1.6760654528683687
beta_0.50,Grid_20x20,RLStrategy,RL,0.04998125,0.00030524703816801316,0.0051035,4.971296923685847e-05,0.8357468555645489,0.10175844258748162,0.0,0.0,2000.0,0.0
beta_0.50,Grid_20x20,TitForTatStrategy,TFT,0.4812460752060597,0.16518437081169152,0.0025,0.0,0.0,0.0,0.16666666666666666,0.23333333333333334,1214.7333333333333,978.1934768546148
beta_0.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.07271207264957265,0.012528993153749503,,,,,0.0,1.0,12.633333333333333,1.9736773542933947
beta_0.50,WS_k4_p0.1,RLStrategy,RL,0.04995633333333334,0.0003383069747956765,0.005084166666666667,5.282262663913531e-05,0.8706343758576093,0.08525558937054951,0.0,0.0,2000.0,0.0
beta_0.50,WS_k4_p0.1,TitForTatStrategy,TFT,0.4619356568945039,0.1788843117640036,0.05852272727272729,0.19976013755029448,2.1066832043890584,0.29365658584008525,0.06666666666666667,0.2,1481.4666666666667,874.618448173292
beta_1.00,ER_k4,ImitationStrategy,Imitate,0.010646000000000001,0.004881666644101985,0.0033199166666666668,0.0010075357192550114,0.3022222222222222,0.3447952730709285,0.0,0.0,2000.0,0.0
beta_1.00,ER_k4,RLStrategy,RL,0.11122891666666668,0.017512409217113552,0.01922916666666667,0.006187833457867047,2.0093091610713065,0.3918164915506256,0.0,0.0,2000.0,0.0
beta_1.00,ER_k4,TitForTatStrategy,TFT,0.4978333333333333,0.06803106330723221,0.3732083333333333,0.10157365433884478,1.494551644379379,0.8878900149355633,0.0,0.0,2000.0,0.0
beta_1.00,Grid_20x20,ImitationStrategy,Imitate,0.08452878354230037,0.027273181065352776,0.00682,0.0025738686835190335,0.55,0.7778174593052023,0.0,0.9333333333333333,159.7,500.30150564606953
beta_1.00,Grid_20x20,RLStrategy,RL,0.05120466666666667,0.001976084788655088,0.005396333333333334,0.0005120196375095416,0.8992310466967924,0.09947857582033642,0.0,0.0,2000.0,0.0
beta_1.00,Grid_20x20,TitForTatStrategy,TFT,0.516262630798815,0.1885702850397811,0.0025,0.0,0.0,0.0,0.3,0.23333333333333334,953.6333333333333,995.5193232622387
beta_1.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.0613313746775492,0.03407195844737565,0.007095333333333336,0.0004220970888089054,1.5900494015788134,0.3026567644046845,0.0,0.5,1018.4666666666667,998.3851006477421
beta_1.00,WS_k4_p0.1,RLStrategy,RL,0.05133716666666667,0.0021989410395466045,0.00554025,0.0009295334735491113,0.9246344469391953,0.10507995170422091,0.0,0.0,2000.0,0.0
beta_1.00,WS_k4_p0.1,TitForTatStrategy,TFT,0.5425222611075919,0.20577612795928144,0.06767857142857142,0.19929192997120668,1.895345022565689,0.5801084488555567,0.3333333333333333,0.2,963.1333333333333,986.5185994832722
beta_1.50,ER_k4,ImitationStrategy,Imitate,0.020369046296296302,0.014038140054330203,0.004782931034482759,0.0012576512385916202,0.8465450067174205,0.4070788008490765,0.0,0.03333333333333333,1934.5333333333333,358.57570098004874
beta_1.50,ER_k4,RLStrategy,RL,0.19484341666666666,0.02508545458375931,0.059958833333333336,0.020558116231515614,3.597598046401641,0.6256637521049232,0.0,0.0,2000.0,0.0
beta_1.50,ER_k4,TitForTatStrategy,TFT,0.4985833333333333,0.07902608510129285,0.373375,0.11353316297376548,1.424191564358821,0.9046442683610592,0.0,0.0,2000.0,0.0
beta_1.50,Grid_20x20,ImitationStrategy,Imitate,0.04143709777932246,0.02336753673358456,0.00730592105263158,0.002420271192696974,0.943275136026684,0.8676299434840171,0.0,0.36666666666666664,1291.6666666666667,946.9520008712284
beta_1.50,Grid_20x20,RLStrategy,RL,0.054600666666666665,0.0026082376905824187,0.006193416666666668,0.0007829000804186575,1.001416872708471,0.10832338976277123,0.0,0.0,2000.0,0.0
beta_1.50,Grid_20x20,TitForTatStrategy,TFT,0.5082006295262874,0.1511528240919558,0.0025,0.0,0.0,0.0,0.2,0.16666666666666666,1280.6,961.6402151783566
beta_1.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.05112027144206045,0.026908770074798548,0.008623750000000001,0.002509802893750063,1.9820501196525226,0.38235667377397764,0.0,0.26666666666666666,1502.4,842.2108671987
beta_1.50,WS_k4_p0.1,RLStrategy,RL,0.05463133333333334,0.004548279882005665,0.006640666666666667,0.0020775084477745727,0.9935632747426636,0.13859866531495976,0.0,0.0,2000.0,0.0
