payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
T=1.00,ER_p0.02,ImitationStrategy,Imitate,0.039529,0.016173739576084437,0.0263575,0.011571286661387315,2.79625,2.254143753734442,0.0,0.0,3000.0,0.0
T=1.00,ER_p0.02,TitForTatStrategy,TFT,0.48225000000000007,0.1299260607037711,0.45725,0.13555556978597372,1.05,0.11180339887498951,0.0,0.0,3000.0,0.0
T=1.00,Grid_20x20,ImitationStrategy,Imitate,0.1713255,0.03440736173953185,0.043394499999999996,0.019257884375626515,7.843640419415477,3.9459993954582537,0.0,0.0,3000.0,0.0
T=1.00,Grid_20x20,TitForTatStrategy,TFT,0.44005263157894736,0.13404639086169792,0.0025,0.0,0.0,0.0,0.0,0.2,2407.6,1324.6466698708755
T=1.00,WS_k8_p0.05,ImitationStrategy,Imitate,0.28274999999999995,0.058370784109004384,,,,,0.0,1.0,4.4,3.286335345030997
T=1.00,WS_k8_p0.05,TitForTatStrategy,TFT,0.5652758124725515,0.24972616637967346,0.08812500000000001,0.009722718241315022,11.72674239044645,3.7155560468895676,0.4,0.2,1227.4,1618.1689652196399
T=1.05,ER_p0.02,ImitationStrategy,Imitate,0.05262599999999999,0.05008071552504017,0.02916875,0.031916172330810594,1.0899999999999999,0.46086874487211654,0.0,0.2,2406.4,1327.3299514438752
T=1.05,ER_p0.02,TitForTatStrategy,TFT,0.477,0.049824692673412496,0.4545,0.056614099392289195,1.0,0.0,0.0,0.0,3000.0,0.0
T=1.05,Grid_20x20,ImitationStrategy,Imitate,0.15310849999999998,0.02602524421115008,0.0445855,0.019627095939032856,5.713448583586754,1.7997182962227505,0.0,0.0,3000.0,0.0
T=1.05,Grid_20x20,TitForTatStrategy,TFT,0.4370509446693657,0.22177936387449904,0.0025,0.0,0.0,0.0,0.2,0.4,1223.2,1621.9891183358784
T=1.05,WS_k8_p0.05,ImitationStrategy,Imitate,0.30074999999999996,0.03573694035938163,,,,,0.0,1.0,6.8,2.6832815729997477
T=1.05,WS_k8_p0.05,TitForTatStrategy,TFT,0.4415732031943212,0.2506042586623705,0.089375,0.045078057300642405,9.232764390896921,3.4813413179502364,0.2,0.4,1228.2,1617.4251760127886
T=1.10,ER_p0.02,ImitationStrategy,Imitate,0.023722000000000004,0.012322203714230666,0.0097505,0.003012498132779505,1.7959696969696968,0.9543680306489217,0.0,0.0,3000.0,0.0
T=1.10,ER_p0.02,TitForTatStrategy,TFT,0.398,0.07189727915575111,0.36174999999999996,0.07392775189331811,1.1271578947368421,0.17412448185150606,0.0,0.0,3000.0,0.0
T=1.10,Grid_20x20,ImitationStrategy,Imitate,0.1677125,0.02625285758255662,0.055627,0.03378797786380535,5.778009606211433,2.0459050971110018,0.0,0.0,3000.0,0.0
T=1.10,Grid_20x20,TitForTatStrategy,TFT,0.6037205383521173,0.2396228203351043,0.0025,,0.0,,0.6,0.2,630.6,1324.535125997042
T=1.10,WS_k8_p0.05,ImitationStrategy,Imitate,0.2766730769230769,0.044001264942817815,,,,,0.0,1.0,8.0,10.392304845413264
T=1.10,WS_k8_p0.05,TitForTatStrategy,TFT,0.48027948717948715,0.1970432226468561,0.13208333333333333,0.04634000251762329,11.750514285388478,7.853128734909237,0.2,0.2,1816.8,1620.1647138485644
T=1.15,ER_p0.02,ImitationStrategy,Imitate,0.08698897222222224,0.05521329715388934,0.022719999999999997,0.015627059864222696,2.314285714285714,0.015152288168283578,0.0,0.6,1221.8,1623.275762155032
T=1.15,ER_p0.02,TitForTatStrategy,TFT,0.56975,0.09662022950707588,0.548,0.1062632344698767,1.0,0.0,0.0,0.0,3000.0,0.0
T=1.15,Grid_20x20,ImitationStrategy,Imitate,0.1773575,0.009217295054678451,0.047611,0.02190430270232312,4.833132521081222,0.7499113837315144,0.0,0.0,3000.0,0.0
T=1.15,Grid_20x20,TitForTatStrategy,TFT,0.5565814479638009,0.29683197815870754,,,,,0.6,0.4,37.8,2.1679483388678795
T=1.15,WS_k8_p0.05,ImitationStrategy,Imitate,0.284373,0.046903325821576844,0.08216000000000001,,11.614924242424241,,0.0,0.8,607.6,1337.408239843018
T=1.15,WS_k8_p0.05,TitForTatStrategy,TFT,0.6114366803278688,0.15354384858501458,0.10291666666666667,0.03687676549445916,7.848979934112009,2.4554433923590544,0.4,0.0,1820.2,1615.5247444715912
T=1.20,ER_p0.02,ImitationStrategy,Imitate,0.054170296052631586,0.05391781075982514,0.007641666666666667,0.0016873061617066801,1.7186111111111113,0.5229698401473106,0.0,0.4,1814.0,1623.9987684724395
T=1.20,ER_p0.02,TitForTatStrategy,TFT,0.57325,0.09804574825049782,0.55725,0.10650117370245275,1.0235294117647058,0.05261336417646568,0.0,0.0,3000.0,0.0
T=1.20,Grid_20x20,ImitationStrategy,Imitate,0.19195100412087912,0.030718242373396484,0.018337500000000007,,4.146883351390393,,0.0,0.8,618.4,1331.3717737732013
T=1.20,Grid_20x20,TitForTatStrategy,TFT,0.3499230769230769,0.1402386359032346,0.0025,0.0,0.0,0.0,0.0,0.6,1223.4,1621.806492772797
T=1.20,WS_k8_p0.05,ImitationStrategy,Imitate,0.26556250000000003,0.02142437644950255,,,,,0.0,1.0,3.2,2.6832815729997477
T=1.20,WS_k8_p0.05,TitForTatStrategy,TFT,0.3944066339066339,0.14499569162079937,0.13083333333333333,0.08655140572707835,7.752727272727271,0.8181878787654321,0.0,0.4,1816.2,1620.986798218912
T=1.25,ER_p0.02,ImitationStrategy,Imitate,0.014769000000000004,0.007106918636089767,0.0064545,0.00129377041046702,1.205952380952381,0.8419371155709694,0.0,0.0,3000.0,0.0
T=1.25,ER_p0.02,TitForTatStrategy,TFT,0.5014999999999998,0.06629950980210939,0.47850000000000004,0.07033069209100683,1.0923076923076924,0.2064062748461343,0.0,0.0,3000.0,0.0
T=1.25,Grid_20x20,ImitationStrategy,Imitate,0.139930375,0.037065309732589063,0.020635000000000008,0.0038360542879370234,4.2904078239741406,1.226607271387251,0.0,0.6,1216.8,1627.8332838469669
T=1.25,Grid_20x20,TitForTatStrategy,TFT,0.6081214574898786,0.14866739489937913,0.0025,0.0,0.0,0.0,0.4,0.0,1815.4,1622.0803925823159
T=1.25,WS_k8_p0.05,ImitationStrategy,Imitate,0.27375,0.023390578031014967,,,,,0.0,1.0,4.4,3.2863353450309964
T=1.25,WS_k8_p0.05,TitForTatStrategy,TFT,0.37659365874009165,0.17010528992597265,0.12374999999999999,0.05014042780032892,9.59441166798708,4.512180800946782,0.0,0.4,1819.6,1616.329885883448
T=1.30,ER_p0.02,ImitationStrategy,Imitate,0.13304977884615382,0.09405686254909831,0.007917500000000001,,2.0,,0.0,0.8,618.4,1331.385293594608
T=1.30,ER_p0.02,TitForTatStrategy,TFT,0.46375,0.06359662923457503,0.43674999999999997,0.0648592225516156,1.0307692307692307,0.06880209161537812,0.0,0.0,3000.0,0.0
T=1.30,Grid_20x20,ImitationStrategy,Imitate,0.10043899999999999,0.019617589014708205,0.024594500000000002,0.009482435967355641,4.021837715455026,1.109825563302913,0.0,0.0,3000.0,0.0
T=1.30,Grid_20x20,TitForTatStrategy,TFT,0.5902631578947368,0.12437294243067601,0.0025,0.0,0.0,0.0,0.4,0.0,1815.2,1622.3542153303022
T=1.30,WS_k8_p0.05,ImitationStrategy,Imitate,0.257,0.031741140496207756,,,,,0.0,1.0,3.2,2.6832815729997477
T=1.30,WS_k8_p0.05,TitForTatStrategy,TFT,0.5602127659574467,0.1346398377941362,0.1,0.026120713364429126,8.317572361497788,2.2013573493642085,0.2,0.0,2409.4,1320.6217475113758
T=1.35,ER_p0.02,ImitationStrategy,Imitate,0.05710703846153846,0.06375524486612916,0.006530000000000001,0.0012757571281399906,0.68,0.6702238432046417,0.0,0.4,1811.6,1627.2851010194863
