payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
T=1.00,BA_m4,ImitationStrategy,Imitate,0.128491071,0.011825235,,,,,0,1,7.2,0.447213595
T=1.00,BA_m4,TitForTatStrategy,TFT,0.5255,0.040442861,0.48775,0.041855406,1.015384615,0.034401046,0,0,3000,0
T=1.00,ER_p0.02,ImitationStrategy,Imitate,0.127419643,0.018619454,,,,,0,1,7.2,0.447213595
T=1.00,ER_p0.02,TitForTatStrategy,TFT,0.48225,0.129926061,0.45725,0.13555557,1.05,0.111803399,0,0,3000,0
T=1.00,Grid_20x20,ImitationStrategy,Imitate,0.108501786,0.010762426,,,,,0,1,10.8,2.28035085
T=1.00,Grid_20x20,TitForTatStrategy,TFT,0.440052632,0.134046391,0.0025,0,0,0,0,0.2,2407.6,1324.64667
T=1.00,WS_k8_p0.05,ImitationStrategy,Imitate,0.2265,0.041967249,,,,,0,1,3.2,2.683281573
T=1.00,WS_k8_p0.05,TitForTatStrategy,TFT,0.565275812,0.249726166,0.088125,0.009722718,11.72674239,3.715556047,0.4,0.2,1227.4,1618.168965
T=1.05,BA_m4,ImitationStrategy,Imitate,0.112223214,0.004204779,,,,,0,1,7.6,0.547722558
T=1.05,BA_m4,TitForTatStrategy,TFT,0.50675,0.018886999,0.47175,0.020626894,1.04,0.089442719,0,0,3000,0
T=1.05,ER_p0.02,ImitationStrategy,Imitate,0.099607143,0.057656016,0.0025,,0,,0,0.8,606.2,1338.174951
T=1.05,ER_p0.02,TitForTatStrategy,TFT,0.477,0.049824693,0.4545,0.056614099,1,0,0,0,3000,0
T=1.05,Grid_20x20,ImitationStrategy,Imitate,0.126659722,0.009131298,,,,,0,1,8.2,0.447213595
T=1.05,Grid_20x20,TitForTatStrategy,TFT,0.437050945,0.221779364,0.0025,0,0,0,0.2,0.4,1223.2,1621.989118
T=1.05,WS_k8_p0.05,ImitationStrategy,Imitate,0.165482143,0.07602456,,,,,0,1,7.4,5.366563146
T=1.05,WS_k8_p0.05,TitForTatStrategy,TFT,0.441573203,0.250604259,0.089375,0.045078057,9.232764391,3.481341318,0.2,0.4,1228.2,1617.425176
T=1.10,BA_m4,ImitationStrategy,Imitate,0.123357143,0.011399517,,,,,0,1,7,0
T=1.10,BA_m4,TitForTatStrategy,TFT,0.53725,0.042180787,0.5025,0.057852182,1.070588235,0.157840093,0,0,3000,0
T=1.10,ER_p0.02,ImitationStrategy,Imitate,0.099616071,0.055382227,0.0025,,0,,0,0.8,605.8,1338.398558
T=1.10,ER_p0.02,TitForTatStrategy,TFT,0.398,0.071897279,0.36175,0.073927752,1.127157895,0.174124482,0,0,3000,0
T=1.10,Grid_20x20,ImitationStrategy,Imitate,0.110952778,0.012576546,,,,,0,1,10,2.915475947
T=1.10,Grid_20x20,TitForTatStrategy,TFT,0.603720538,0.23962282,0.0025,,0,,0.6,0.2,630.6,1324.535126
T=1.10,WS_k8_p0.05,ImitationStrategy,Imitate,0.2344375,0.023327241,,,,,0,1,3.2,2.683281573
T=1.10,WS_k8_p0.05,TitForTatStrategy,TFT,0.480279487,0.197043223,0.132083333,0.046340003,11.75051429,7.853128735,0.2,0.2,1816.8,1620.164714
T=1.15,BA_m4,ImitationStrategy,Imitate,0.117044643,0.007262008,,,,,0,1,7.4,0.547722558
T=1.15,BA_m4,TitForTatStrategy,TFT,0.48275,0.049207786,0.445,0.062199277,1.039047619,0.053494654,0,0,3000,0
T=1.15,ER_p0.02,ImitationStrategy,Imitate,0.137321429,0.027117587,,,,,0,1,7.2,0.447213595
T=1.15,ER_p0.02,TitForTatStrategy,TFT,0.56975,0.09662023,0.548,0.106263234,1,0,0,0,3000,0
T=1.15,Grid_20x20,ImitationStrategy,Imitate,0.110420833,0.017727504,,,,,0,1,10.2,3.193743885
T=1.15,Grid_20x20,TitForTatStrategy,TFT,0.556581448,0.296831978,,,,,0.6,0.4,37.8,2.167948339
T=1.15,WS_k8_p0.05,ImitationStrategy,Imitate,0.166083333,0.078872727,,,,,0,1,7.8,5.310367219
T=1.15,WS_k8_p0.05,TitForTatStrategy,TFT,0.61143668,0.153543849,0.102916667,0.036876765,7.848979934,2.455443392,0.4,0,1820.2,1615.524744
T=1.20,BA_m4,ImitationStrategy,Imitate,0.121285714,0.010005101,,,,,0,1,7,0
T=1.20,BA_m4,TitForTatStrategy,TFT,0.49475,0.053175711,0.46,0.056145737,1,0,0,0,3000,0
T=1.20,ER_p0.02,ImitationStrategy,Imitate,0.099794643,0.056284407,0.0025,,0,,0,0.8,606,1338.286778
T=1.20,ER_p0.02,TitForTatStrategy,TFT,0.57325,0.098045748,0.55725,0.106501174,1.023529412,0.052613364,0,0,3000,0
T=1.20,Grid_20x20,ImitationStrategy,Imitate,0.108986111,0.017503572,,,,,0,1,9,1.732050808
T=1.20,Grid_20x20,TitForTatStrategy,TFT,0.349923077,0.140238636,0.0025,0,0,0,0,0.6,1223.4,1621.806493
T=1.20,WS_k8_p0.05,ImitationStrategy,Imitate,0.225846154,0.069968472,,,,,0,1,4.2,4.91934955
T=1.20,WS_k8_p0.05,TitForTatStrategy,TFT,0.394406634,0.144995692,0.130833333,0.086551406,7.752727273,0.818187879,0,0.4,1816.2,1620.986798
T=1.25,BA_m4,ImitationStrategy,Imitate,0.125017857,0.003515409,,,,,0,1,7.2,0.447213595
T=1.25,BA_m4,TitForTatStrategy,TFT,0.49425,0.074017523,0.456,0.078617945,1,0,0,0,3000,0
T=1.25,ER_p0.02,ImitationStrategy,Imitate,0.109633929,0.06119235,0.0025,,0,,0,0.8,606.2,1338.174951
T=1.25,ER_p0.02,TitForTatStrategy,TFT,0.5015,0.06629951,0.4785,0.070330692,1.092307692,0.206406275,0,0,3000,0
T=1.25,Grid_20x20,ImitationStrategy,Imitate,0.1169375,0.014651552,,,,,0,1,8,0
T=1.25,Grid_20x20,TitForTatStrategy,TFT,0.608121457,0.148667395,0.0025,0,0,0,0.4,0,1815.4,1622.080393
T=1.25,WS_k8_p0.05,ImitationStrategy,Imitate,0.208875,0.069748992,,,,,0,1,4.4,3.286335345
T=1.25,WS_k8_p0.05,TitForTatStrategy,TFT,0.376593659,0.17010529,0.12375,0.050140428,9.594411668,4.512180801,0,0.4,1819.6,1616.329886
T=1.30,BA_m4,ImitationStrategy,Imitate,0.121589286,0.01194347,,,,,0,1,7.4,0.547722558
T=1.30,BA_m4,TitForTatStrategy,TFT,0.50975,0.051957013,0.47125,0.057063561,1.051666667,0.070808819,0,0,3000,0
T=1.30,ER_p0.02,ImitationStrategy,Imitate,0.125214286,0.0106852,,,,,0,1,7.6,0.547722558
T=1.30,ER_p0.02,TitForTatStrategy,TFT,0.46375,0.063596629,0.43675,0.064859223,1.030769231,0.068802092,0,0,3000,0
T=1.30,Grid_20x20,ImitationStrategy,Imitate,0.1170125,0.021968257,,,,,0,1,8.4,0.894427191
T=1.30,Grid_20x20,TitForTatStrategy,TFT,0.590263158,0.124372942,0.0025,0,0,0,0.4,0,1815.2,1622.354215
T=1.30,WS_k8_p0.05,ImitationStrategy,Imitate,0.226875,0.038201767,,,,,0,1,3.2,2.683281573
T=1.30,WS_k8_p0.05,TitForTatStrategy,TFT,0.560212766,0.134639838,0.1,0.026120713,8.317572361,2.201357349,0.2,0,2409.4,1320.621748
T=1.35,BA_m4,ImitationStrategy,Imitate,0.112017857,0.004983771,,,,,0,1,7.6,0.547722558
T=1.35,BA_m4,TitForTatStrategy,TFT,0.51425,0.064997596,0.47725,0.073587745,1,0,0,0,3000,0
T=1.35,ER_p0.02,ImitationStrategy,Imitate,0.120276786,0.010743144,,,,,0,1,7.8,0.447213595
T=1.35,ER_p0.02,TitForTatStrategy,TFT,0.5205,0.056944326,0.50025,0.065026437,1,0,0,0,3000,0
T=1.35,Grid_20x20,ImitationStrategy,Imitate,0.110575,0.014203556,,,,,0,1,8.4,0.894427191
T=1.35,Grid_20x20,TitForTatStrategy,TFT,0.511303191,0.274963583,0.0025,,0,,0.4,0.4,630.2,1324.759488
T=1.35,WS_k8_p0.05,ImitationStrategy,Imitate,0.21125,0.04912168,,,,,0,1,4.4,3.286335345
T=1.35,WS_k8_p0.05,TitForTatStrategy,TFT,0.44054972,0.223612855,0.09625,0.037123106,13.08191949,8.330146004,0.2,0.4,1226.4,1619.073902
T=1.40,BA_m4,ImitationStrategy,Imitate,0.1100625,0.011003971,,,,,0,1,7.4,0.547722558
T=1.40,BA_m4,TitForTatStrategy,TFT,0.47725,0.037794676,0.44075,0.040683612,1,0,0,0,3000,0
T=1.40,ER_p0.02,ImitationStrategy,Imitate,0.115839286,0.00850358,,,,,0,1,7.6,0.547722558
T=1.40,ER_p0.02,TitForTatStrategy,TFT,0.4965,0.056301365,0.47975,0.054165545,1.033333333,0.074535599,0,0,3000,0
T=1.40,Grid_20x20,ImitationStrategy,Imitate,0.093934848,0.005745286,,,,,0,1,10.2,0.836660027
T=1.40,Grid_20x20,TitForTatStrategy,TFT,0.610053343,0.215179199,0.0025,,0,,0.6,0.2,630,1324.870371
T=1.40,WS_k8_p0.05,ImitationStrategy,Imitate,0.186125,0.064834751,,,,,0,1,5.6,3.286335345
T=1.40,WS_k8_p0.05,TitForTatStrategy,TFT,0.570218868,0.231096344,0.135,0.007071068,8.835480002,0.722630166,0.4,0.2,1227,1618.530506
T=1.45,BA_m4,ImitationStrategy,Imitate,0.1191875,0.021092047,,,,,0,1,7.2,0.447213595
T=1.45,BA_m4,TitForTatStrategy,TFT,0.5095,0.050424758,0.47225,0.052718296,1,0,0,0,3000,0
T=1.45,ER_p0.02,ImitationStrategy,Imitate,0.125258929,0.013077553,,,,,0,1,7.6,0.547722558
T=1.45,ER_p0.02,TitForTatStrategy,TFT,0.58625,0.094028752,0.57175,0.099634488,1.088888889,0.198761598,0,0,3000,0
T=1.45,Grid_20x20,ImitationStrategy,Imitate,0.104118056,0.011979559,,,,,0,1,8.6,0.547722558
T=1.45,Grid_20x20,TitForTatStrategy,TFT,0.506477824,0.154656096,0.0025,0,0,0,0.2,0.2,1815.2,1622.354369
T=1.45,WS_k8_p0.05,ImitationStrategy,Imitate,0.224625,0.054896209,,,,,0,1,3.2,2.683281573
T=1.45,WS_k8_p0.05,TitForTatStrategy,TFT,0.452576923,0.106041224,0.076875,0.006495191,9.571154518,0.517857528,0,0.2,2407.8,1324.199456
T=1.50,BA_m4,ImitationStrategy,Imitate,0.120642857,0.005395104,,,,,0,1,7,0
T=1.50,BA_m4,TitForTatStrategy,TFT,0.52575,0.075702956,0.493,0.084458755,1.023529412,0.052613364,0,0,3000,0
T=1.50,ER_p0.02,ImitationStrategy,Imitate,0.121419643,0.013545426,,,,,0,1,7.4,0.547722558
