payoff,network,strategy,barC,chi_bar,smax_bar,absorbed,absorb_state,t_absorb,n_steps_executed,cluster_samples_json,cluster_sizes_window_json,strategy_short
beta_0.00,Grid_6x6,ImitationStrategy,0.2777777777777778,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [19, 1]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.2638888888888889,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [3, 1, 1, 1, 13]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.3611111111111111,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [26]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 3, 1, 6, 1, 1, 3]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.3055555555555556,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [22]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [3, 12, 1]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.2916666666666667,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [4, 13, 3, 1]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.25,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [17, 1]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 6, 8, 1]}]",[],Imitate
beta_0.00,Grid_6x6,ImitationStrategy,0.19444444444444445,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [5, 5, 1, 1, 1, 1]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.2361111111111111,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [3, 10, 2, 1, 1]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.05555555555555557,0.0,0.027777777777777787,False,,1000,1000,"[{""t"": 1, ""sizes"": [1, 17, 2, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1]}, {""t"": 101, ""sizes"": [1, 1]}, {""t"": 151, ""sizes"": [1, 1]}, {""t"": 201, ""sizes"": [1, 1]}, {""t"": 251, ""sizes"": [1, 1]}, {""t"": 301, ""sizes"": [1, 1]}, {""t"": 351, ""sizes"": [1, 1]}, {""t"": 401, ""sizes"": [1, 1]}, {""t"": 451, ""sizes"": [1, 1]}, {""t"": 501, ""sizes"": [1, 1]}, {""t"": 551, ""sizes"": [1, 1]}, {""t"": 601, ""sizes"": [1, 1]}, {""t"": 651, ""sizes"": [1, 1]}, {""t"": 701, ""sizes"": [1, 1]}, {""t"": 751, ""sizes"": [1, 1]}, {""t"": 801, ""sizes"": [1, 1]}, {""t"": 851, ""sizes"": [1, 1]}, {""t"": 901, ""sizes"": [1, 1]}, {""t"": 951, ""sizes"": [1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.027777777777777787,0.0,0.027777777777777787,False,,1000,1000,"[{""t"": 1, ""sizes"": [11, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1]}, {""t"": 101, ""sizes"": [1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [1]}, {""t"": 301, ""sizes"": [1]}, {""t"": 351, ""sizes"": [1]}, {""t"": 401, ""sizes"": [1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [1]}, {""t"": 651, ""sizes"": [1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [1]}, {""t"": 851, ""sizes"": [1]}, {""t"": 901, ""sizes"": [1]}, {""t"": 951, ""sizes"": [1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.027777777777777787,0.0,0.027777777777777787,False,,1000,1000,"[{""t"": 1, ""sizes"": [1, 7, 1, 2, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1]}, {""t"": 101, ""sizes"": [1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [1]}, {""t"": 301, ""sizes"": [1]}, {""t"": 351, ""sizes"": [1]}, {""t"": 401, ""sizes"": [1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [1]}, {""t"": 651, ""sizes"": [1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [1]}, {""t"": 851, ""sizes"": [1]}, {""t"": 901, ""sizes"": [1]}, {""t"": 951, ""sizes"": [1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.25,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [15, 2, 1]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.25,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [18]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.20833333333333334,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 8, 5, 1]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.2777777777777778,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [15, 1, 1, 1, 1, 1]}]",[],Imitate
beta_0.00,ER_k4,ImitationStrategy,0.027777777777777787,0.0,0.027777777777777787,False,,1000,1000,"[{""t"": 1, ""sizes"": [10, 3, 1, 2, 1, 1, 1]}, {""t"": 51, ""sizes"": [1]}, {""t"": 101, ""sizes"": [1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [1]}, {""t"": 301, ""sizes"": [1]}, {""t"": 351, ""sizes"": [1]}, {""t"": 401, ""sizes"": [1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [1]}, {""t"": 651, ""sizes"": [1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [1]}, {""t"": 851, ""sizes"": [1]}, {""t"": 901, ""sizes"": [1]}, {""t"": 951, ""sizes"": [1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.3055555555555556,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 18, 1, 1, 1]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.25,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [11, 1, 2, 3, 1]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.2361111111111111,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [12, 2, 2, 1]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 9, 1, 4, 1]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.2777777777777778,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 4, 12, 1, 2]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.2361111111111111,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [8, 1, 6, 2]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.25,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [10, 1, 7]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [4, 2, 3, 2, 3, 2]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.3055555555555556,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [9, 12, 1]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.3333333333333333,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [20, 4]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.19444444444444445,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [14]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.13333333333333336,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [1, 4, 8, 3, 1]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.11666666666666667,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [6, 8, 1]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.16319444444444445,,,True,allD,8,8,"[{""t"": 1, ""sizes"": [22, 3]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.16666666666666669,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [10, 1, 5, 4, 1]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.1597222222222222,,,True,allD,4,4,"[{""t"": 1, ""sizes"": [14, 1, 1, 1]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.1547619047619048,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [2, 20, 1]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.18055555555555555,,,True,allD,4,4,"[{""t"": 1, ""sizes"": [15, 2, 1, 1]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.17361111111111113,,,True,allD,4,4,"[{""t"": 1, ""sizes"": [10, 1, 1, 1, 3, 2]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.15555555555555556,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [17, 1, 1, 1]}]",[],Imitate
beta_0.50,Grid_6x6,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [3, 1, 1, 1, 1, 1, 5, 2, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.027777777777777787,0.0,0.027777777777777787,False,,1000,1000,"[{""t"": 1, ""sizes"": [23, 1]}, {""t"": 51, ""sizes"": [1]}, {""t"": 101, ""sizes"": [1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [1]}, {""t"": 301, ""sizes"": [1]}, {""t"": 351, ""sizes"": [1]}, {""t"": 401, ""sizes"": [1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [1]}, {""t"": 651, ""sizes"": [1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [1]}, {""t"": 851, ""sizes"": [1]}, {""t"": 901, ""sizes"": [1]}, {""t"": 951, ""sizes"": [1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.50,ER_k4,ImitationStrategy,0.18055555555555555,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [2, 1, 1, 1, 4, 1, 1, 1, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.16666666666666669,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [18, 1, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.19444444444444445,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [6, 2, 4, 1, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.1388888888888889,,,True,allD,4,4,"[{""t"": 1, ""sizes"": [12, 1, 1, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.15555555555555556,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [1, 12, 3, 1, 1, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.16666666666666669,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [3, 15, 1, 1, 1, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.2638888888888889,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [17, 1, 1]}]",[],Imitate
beta_0.50,ER_k4,ImitationStrategy,0.05811111111111111,0.6,0.04294444444444446,False,,1000,1000,"[{""t"": 1, ""sizes"": [19, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [2, 1]}, {""t"": 101, ""sizes"": [2, 1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [2, 1]}, {""t"": 301, ""sizes"": [2, 1]}, {""t"": 351, ""sizes"": [2, 1]}, {""t"": 401, ""sizes"": [2, 1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [2, 1]}, {""t"": 651, ""sizes"": [2, 1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [2, 1]}, {""t"": 851, ""sizes"": [2, 1]}, {""t"": 901, ""sizes"": [2, 1]}, {""t"": 951, ""sizes"": [2, 1]}]","[1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1]",Imitate
beta_0.50,ER_k4,ImitationStrategy,0.1111111111111111,,,True,allD,9,9,"[{""t"": 1, ""sizes"": [17, 1, 1, 1]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.11111111111111112,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [9, 7, 2]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [7, 3, 1, 3, 1, 1]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [2, 14]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.16666666666666666,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [5, 1, 4, 2]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.11507936507936509,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [9, 7, 3]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.19444444444444445,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [18, 3]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.16666666666666669,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [17, 2, 1]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.19444444444444445,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [2, 1, 2, 4, 5]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.2638888888888889,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 1, 12, 2, 2, 1]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.17857142857142858,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [17, 3]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.19444444444444445,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [4, 5, 4, 1]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.16071428571428567,,,True,allD,14,14,"[{""t"": 1, ""sizes"": [4, 17]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.16666666666666666,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [18, 1]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.2107843137254902,,,True,allD,17,17,"[{""t"": 1, ""sizes"": [6, 12, 2, 2]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.1412037037037037,,,True,allD,12,12,"[{""t"": 1, ""sizes"": [12, 1, 3, 1]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 6, 6, 2, 1]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.2094017094017094,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [13, 1, 8]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.20833333333333334,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [1, 1, 3, 3, 1, 4, 1, 1]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.2222222222222222,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [11, 4, 1]}]",[],Imitate
beta_1.00,Grid_6x6,ImitationStrategy,0.1987179487179487,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [6, 1, 2, 10]}]",[],Imitate
beta_1.00,ER_k4,ImitationStrategy,0.20833333333333334,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [5, 3, 2, 2, 1, 2]}]",[],Imitate
beta_1.00,ER_k4,ImitationStrategy,0.11805555555555554,,,True,allD,12,12,"[{""t"": 1, ""sizes"": [13, 1, 1]}]",[],Imitate
