payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
beta_0.50,ER_k4,ImitationStrategy,Imitate,0.012952818181818182,0.016766282701816564,0.0030044736842105265,0.0009064041359141846,0.2263157894736842,0.399433077781161,0.0,0.05,3800.55,891.967516224666
beta_0.50,ER_k4,TitForTatStrategy,TFT,0.5081249999999999,0.07082165796451043,0.38349999999999995,0.09487578444305064,1.2034921384034563,0.14567016528068094,0.0,0.0,4000.0,0.0
beta_0.50,Grid_20x20,ImitationStrategy,Imitate,0.09744315476190477,0.012419449480394836,,,,,0.0,1.0,8.2,0.8944271909999162
beta_0.50,Grid_20x20,TitForTatStrategy,TFT,0.5104667235317003,0.17780641609003855,0.0025,0.0,0.0,0.0,0.25,0.2,2216.6,2022.8426949273767
beta_0.50,WS_k4_p0.05,ImitationStrategy,Imitate,0.08001527292152291,0.02773410841574081,0.007500000000000003,0.0,0.0,0.0,0.0,0.9,410.25,1227.6753760450554
beta_0.50,WS_k4_p0.05,TitForTatStrategy,TFT,0.5278764806139088,0.25949242801601746,0.13500000000000004,0.34447099712042945,1.7769274295635344,0.7235890779630282,0.3,0.3,1647.2,1971.029322327216
beta_0.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.08562750374625375,0.027179921947902683,0.007500000000000003,,0.0,,0.0,0.95,209.1,892.2887130118934
beta_0.50,WS_k4_p0.1,TitForTatStrategy,TFT,0.47216955677032735,0.20891134847446036,0.08348214285714287,0.2502201811998192,2.1228957806658797,0.34325909496333074,0.1,0.2,2817.65,1853.001527394491
beta_0.80,ER_k4,ImitationStrategy,Imitate,0.020870701923076926,0.019749464193154025,0.004588815789473685,0.0013461731687611361,0.8161702332754964,0.48273256623328564,0.0,0.05,3800.65,891.5203026291662
beta_0.80,ER_k4,TitForTatStrategy,TFT,0.4845,0.0682709385656267,0.3521875,0.09429610679438973,1.3369394201181128,0.40937514211702214,0.0,0.0,4000.0,0.0
beta_0.80,Grid_20x20,ImitationStrategy,Imitate,0.08440841214667685,0.03611102271468798,0.005,0.0,0.0,0.0,0.0,0.85,612.25,1460.1127164492618
beta_0.80,Grid_20x20,TitForTatStrategy,TFT,0.4482731429557088,0.1410036330609133,0.0025,0.0,0.0,0.0,0.05,0.25,2811.4,1862.7833277962818
beta_0.80,WS_k4_p0.05,ImitationStrategy,Imitate,0.05403430357142858,0.04416409359639486,0.006551666666666668,0.000747663423766401,1.1133333333333333,0.5950590206821825,0.0,0.25,3003.8,1770.2964247772031
beta_0.80,WS_k4_p0.05,TitForTatStrategy,TFT,0.4633718320749957,0.20882824615654189,0.011875000000000002,0.001692508000965827,2.0766818838397336,0.12447216427476636,0.2,0.3,2039.2,2011.7544477134222
beta_0.80,WS_k4_p0.1,ImitationStrategy,Imitate,0.07127638468329915,0.03994012595239042,0.007072000000000002,0.001502773893504941,1.2079465534465534,0.957689281832274,0.0,0.75,1016.45,1767.3373512597686
beta_0.80,WS_k4_p0.1,TitForTatStrategy,TFT,0.4457674071714496,0.23744888869477443,0.029326923076923077,0.03766842519153483,1.684077509383298,0.9658491214824444,0.2,0.15,2618.4,1931.7273807875192
beta_1.00,ER_k4,ImitationStrategy,Imitate,0.030517250000000003,0.011587152194859705,0.0065305,0.002175811796476021,1.2120627103804347,0.34258981543794265,0.0,0.0,4000.0,0.0
beta_1.00,ER_k4,TitForTatStrategy,TFT,0.5059375,0.065434874966199,0.3794375,0.100610369972745,1.587870904472089,1.0643098958074968,0.0,0.0,4000.0,0.0
